"filename", "language", "HTML", "TypeScript", "SCSS", "JavaScript", "JSON", "CSS", "XML", "comment", "blank", "total"
"/Users/klx/code/badminton-app/src/app/app-routing.module.ts", "TypeScript", 0, 26, 0, 0, 0, 0, 0, 0, 4, 30
"/Users/klx/code/badminton-app/src/app/app.component.html", "HTML", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/klx/code/badminton-app/src/app/app.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/klx/code/badminton-app/src/app/app.component.spec.ts", "TypeScript", 0, 31, 0, 0, 0, 0, 0, 0, 5, 36
"/Users/klx/code/badminton-app/src/app/app.component.ts", "TypeScript", 0, 9, 0, 0, 0, 0, 0, 0, 2, 11
"/Users/klx/code/badminton-app/src/app/app.module.ts", "TypeScript", 0, 27, 0, 0, 0, 0, 0, 0, 3, 30
"/Users/klx/code/badminton-app/src/app/interceptors/index.ts", "TypeScript", 0, 7, 0, 0, 0, 0, 0, 0, 2, 9
"/Users/klx/code/badminton-app/src/app/interceptors/prefixIntercept.ts", "TypeScript", 0, 14, 0, 0, 0, 0, 0, 1, 3, 18
"/Users/klx/code/badminton-app/src/app/interceptors/tokenIntercept.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 0, 1, 4, 25
"/Users/klx/code/badminton-app/src/app/modules/common/common.module.ts", "TypeScript", 0, 18, 0, 0, 0, 0, 0, 0, 4, 22
"/Users/klx/code/badminton-app/src/app/modules/common/data/response.ts", "TypeScript", 0, 4, 0, 0, 0, 0, 0, 0, 0, 4
"/Users/klx/code/badminton-app/src/app/modules/login/components/login/login.component.html", "HTML", 24, 0, 0, 0, 0, 0, 0, 0, 1, 25
"/Users/klx/code/badminton-app/src/app/modules/login/components/login/login.component.scss", "SCSS", 0, 0, 29, 0, 0, 0, 0, 0, 5, 34
"/Users/klx/code/badminton-app/src/app/modules/login/components/login/login.component.spec.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 0, 0, 6, 26
"/Users/klx/code/badminton-app/src/app/modules/login/components/login/login.component.ts", "TypeScript", 0, 34, 0, 0, 0, 0, 0, 0, 8, 42
"/Users/klx/code/badminton-app/src/app/modules/login/login-routing.module.ts", "TypeScript", 0, 14, 0, 0, 0, 0, 0, 0, 3, 17
"/Users/klx/code/badminton-app/src/app/modules/login/login.module.ts", "TypeScript", 0, 18, 0, 0, 0, 0, 0, 0, 4, 22
"/Users/klx/code/badminton-app/src/app/modules/login/service/login.service.spec.ts", "TypeScript", 0, 9, 0, 0, 0, 0, 0, 0, 4, 13
"/Users/klx/code/badminton-app/src/app/modules/login/service/login.service.ts", "TypeScript", 0, 27, 0, 0, 0, 0, 0, 1, 5, 33
"/Users/klx/code/badminton-app/src/app/modules/main/components/index/index.component.html", "HTML", 71, 0, 0, 0, 0, 0, 0, 0, 0, 71
"/Users/klx/code/badminton-app/src/app/modules/main/components/index/index.component.scss", "SCSS", 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
"/Users/klx/code/badminton-app/src/app/modules/main/components/index/index.component.spec.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 0, 0, 6, 26
"/Users/klx/code/badminton-app/src/app/modules/main/components/index/index.component.ts", "TypeScript", 0, 50, 0, 0, 0, 0, 0, 0, 16, 66
"/Users/klx/code/badminton-app/src/app/modules/main/data/navigation.enum.ts", "TypeScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 6
"/Users/klx/code/badminton-app/src/app/modules/main/home/components/home/home.component.html", "HTML", 52, 0, 0, 0, 0, 0, 0, 0, 5, 57
"/Users/klx/code/badminton-app/src/app/modules/main/home/components/home/home.component.scss", "SCSS", 0, 0, 14, 0, 0, 0, 0, 0, 3, 17
"/Users/klx/code/badminton-app/src/app/modules/main/home/components/home/home.component.spec.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 0, 0, 6, 26
"/Users/klx/code/badminton-app/src/app/modules/main/home/components/home/home.component.ts", "TypeScript", 0, 60, 0, 0, 0, 0, 0, 0, 14, 74
"/Users/klx/code/badminton-app/src/app/modules/main/home/components/match-detail/match-detail.component.html", "HTML", 75, 0, 0, 0, 0, 0, 0, 0, 0, 75
"/Users/klx/code/badminton-app/src/app/modules/main/home/components/match-detail/match-detail.component.scss", "SCSS", 0, 0, 4, 0, 0, 0, 0, 0, 0, 4
"/Users/klx/code/badminton-app/src/app/modules/main/home/components/match-detail/match-detail.component.spec.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 0, 0, 6, 26
"/Users/klx/code/badminton-app/src/app/modules/main/home/components/match-detail/match-detail.component.ts", "TypeScript", 0, 81, 0, 0, 0, 0, 0, 0, 13, 94
"/Users/klx/code/badminton-app/src/app/modules/main/home/home-routing.module.ts", "TypeScript", 0, 19, 0, 0, 0, 0, 0, 0, 4, 23
"/Users/klx/code/badminton-app/src/app/modules/main/home/home.module.ts", "TypeScript", 0, 15, 0, 0, 0, 0, 0, 0, 4, 19
"/Users/klx/code/badminton-app/src/app/modules/main/home/service/home.service.spec.ts", "TypeScript", 0, 9, 0, 0, 0, 0, 0, 0, 4, 13
"/Users/klx/code/badminton-app/src/app/modules/main/home/service/home.service.ts", "TypeScript", 0, 27, 0, 0, 0, 0, 0, 0, 9, 36
"/Users/klx/code/badminton-app/src/app/modules/main/main-routing.module.ts", "TypeScript", 0, 32, 0, 0, 0, 0, 0, 0, 4, 36
"/Users/klx/code/badminton-app/src/app/modules/main/main.module.ts", "TypeScript", 0, 18, 0, 0, 0, 0, 0, 0, 5, 23
"/Users/klx/code/badminton-app/src/app/modules/main/my/components/detail/detail.component.html", "HTML", 29, 0, 0, 0, 0, 0, 0, 0, 0, 29
"/Users/klx/code/badminton-app/src/app/modules/main/my/components/detail/detail.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/klx/code/badminton-app/src/app/modules/main/my/components/detail/detail.component.spec.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 0, 0, 6, 26
"/Users/klx/code/badminton-app/src/app/modules/main/my/components/detail/detail.component.ts", "TypeScript", 0, 45, 0, 0, 0, 0, 0, 0, 12, 57
"/Users/klx/code/badminton-app/src/app/modules/main/my/components/history/history.component.html", "HTML", 21, 0, 0, 0, 0, 0, 0, 0, 0, 21
"/Users/klx/code/badminton-app/src/app/modules/main/my/components/history/history.component.scss", "SCSS", 0, 0, 14, 0, 0, 0, 0, 0, 3, 17
"/Users/klx/code/badminton-app/src/app/modules/main/my/components/history/history.component.spec.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 0, 0, 6, 26
"/Users/klx/code/badminton-app/src/app/modules/main/my/components/history/history.component.ts", "TypeScript", 0, 46, 0, 0, 0, 0, 0, 0, 6, 52
"/Users/klx/code/badminton-app/src/app/modules/main/my/my-routing.module.ts", "TypeScript", 0, 19, 0, 0, 0, 0, 0, 0, 4, 23
"/Users/klx/code/badminton-app/src/app/modules/main/my/my.module.ts", "TypeScript", 0, 15, 0, 0, 0, 0, 0, 0, 4, 19
"/Users/klx/code/badminton-app/src/app/modules/main/my/service/user.service.spec.ts", "TypeScript", 0, 9, 0, 0, 0, 0, 0, 0, 4, 13
"/Users/klx/code/badminton-app/src/app/modules/main/my/service/user.service.ts", "TypeScript", 0, 17, 0, 0, 0, 0, 0, 0, 4, 21
"/Users/klx/code/badminton-app/src/app/modules/main/referee/components/list/list.component.html", "HTML", 11, 0, 0, 0, 0, 0, 0, 0, 1, 12
"/Users/klx/code/badminton-app/src/app/modules/main/referee/components/list/list.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/klx/code/badminton-app/src/app/modules/main/referee/components/list/list.component.spec.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 0, 0, 6, 26
"/Users/klx/code/badminton-app/src/app/modules/main/referee/components/list/list.component.ts", "TypeScript", 0, 36, 0, 0, 0, 0, 0, 0, 7, 43
"/Users/klx/code/badminton-app/src/app/modules/main/referee/components/referee/referee.component.html", "HTML", 10, 0, 0, 0, 0, 0, 0, 23, 2, 35
"/Users/klx/code/badminton-app/src/app/modules/main/referee/components/referee/referee.component.scss", "SCSS", 0, 0, 39, 0, 0, 0, 0, 0, 7, 46
"/Users/klx/code/badminton-app/src/app/modules/main/referee/components/referee/referee.component.spec.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 0, 0, 6, 26
"/Users/klx/code/badminton-app/src/app/modules/main/referee/components/referee/referee.component.ts", "TypeScript", 0, 81, 0, 0, 0, 0, 0, 0, 17, 98
"/Users/klx/code/badminton-app/src/app/modules/main/referee/referee-routing.module.ts", "TypeScript", 0, 19, 0, 0, 0, 0, 0, 0, 4, 23
"/Users/klx/code/badminton-app/src/app/modules/main/referee/referee.module.ts", "TypeScript", 0, 15, 0, 0, 0, 0, 0, 0, 4, 19
"/Users/klx/code/badminton-app/src/app/modules/main/referee/service/referee.service.spec.ts", "TypeScript", 0, 9, 0, 0, 0, 0, 0, 0, 4, 13
"/Users/klx/code/badminton-app/src/app/modules/main/referee/service/referee.service.ts", "TypeScript", 0, 25, 0, 0, 0, 0, 0, 0, 6, 31
"/Users/klx/code/badminton-app/src/app/modules/main/service/data.service.spec.ts", "TypeScript", 0, 9, 0, 0, 0, 0, 0, 0, 4, 13
"/Users/klx/code/badminton-app/src/app/modules/main/service/data.service.ts", "TypeScript", 0, 33, 0, 0, 0, 0, 0, 0, 10, 43
"/Users/klx/code/badminton-app/src/app/modules/main/shope/components/list/list.component.html", "HTML", 9, 0, 0, 0, 0, 0, 0, 0, 0, 9
"/Users/klx/code/badminton-app/src/app/modules/main/shope/components/list/list.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/klx/code/badminton-app/src/app/modules/main/shope/components/list/list.component.spec.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 0, 0, 6, 26
"/Users/klx/code/badminton-app/src/app/modules/main/shope/components/list/list.component.ts", "TypeScript", 0, 22, 0, 0, 0, 0, 0, 0, 8, 30
"/Users/klx/code/badminton-app/src/app/modules/main/shope/components/product-card/product-card.component.html", "HTML", 7, 0, 0, 0, 0, 0, 0, 0, 0, 7
"/Users/klx/code/badminton-app/src/app/modules/main/shope/components/product-card/product-card.component.scss", "SCSS", 0, 0, 7, 0, 0, 0, 0, 0, 0, 7
"/Users/klx/code/badminton-app/src/app/modules/main/shope/components/product-card/product-card.component.spec.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 0, 0, 6, 26
"/Users/klx/code/badminton-app/src/app/modules/main/shope/components/product-card/product-card.component.ts", "TypeScript", 0, 17, 0, 0, 0, 0, 0, 0, 8, 25
"/Users/klx/code/badminton-app/src/app/modules/main/shope/shope-routing.module.ts", "TypeScript", 0, 14, 0, 0, 0, 0, 0, 0, 4, 18
"/Users/klx/code/badminton-app/src/app/modules/main/shope/shope.module.ts", "TypeScript", 0, 15, 0, 0, 0, 0, 0, 0, 4, 19
"/Users/klx/code/badminton-app/src/app/modules/main/sign/components/against/against.component.html", "HTML", 18, 0, 0, 0, 0, 0, 0, 0, 2, 20
"/Users/klx/code/badminton-app/src/app/modules/main/sign/components/against/against.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/klx/code/badminton-app/src/app/modules/main/sign/components/against/against.component.spec.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 0, 0, 6, 26
"/Users/klx/code/badminton-app/src/app/modules/main/sign/components/against/against.component.ts", "TypeScript", 0, 97, 0, 0, 0, 0, 0, 0, 23, 120
"/Users/klx/code/badminton-app/src/app/modules/main/sign/components/arrange/arrange.component.html", "HTML", 6, 0, 0, 0, 0, 0, 0, 0, 0, 6
"/Users/klx/code/badminton-app/src/app/modules/main/sign/components/arrange/arrange.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/klx/code/badminton-app/src/app/modules/main/sign/components/arrange/arrange.component.spec.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 0, 0, 6, 26
"/Users/klx/code/badminton-app/src/app/modules/main/sign/components/arrange/arrange.component.ts", "TypeScript", 0, 25, 0, 0, 0, 0, 0, 0, 7, 32
"/Users/klx/code/badminton-app/src/app/modules/main/sign/components/operate/operate.component.html", "HTML", 10, 0, 0, 0, 0, 0, 0, 4, 0, 14
"/Users/klx/code/badminton-app/src/app/modules/main/sign/components/operate/operate.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/klx/code/badminton-app/src/app/modules/main/sign/components/operate/operate.component.spec.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 0, 0, 6, 26
"/Users/klx/code/badminton-app/src/app/modules/main/sign/components/operate/operate.component.ts", "TypeScript", 0, 60, 0, 0, 0, 0, 0, 0, 13, 73
"/Users/klx/code/badminton-app/src/app/modules/main/sign/components/sign/sign.component.html", "HTML", 16, 0, 0, 0, 0, 0, 0, 1, 0, 17
"/Users/klx/code/badminton-app/src/app/modules/main/sign/components/sign/sign.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/klx/code/badminton-app/src/app/modules/main/sign/components/sign/sign.component.spec.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 0, 0, 6, 26
"/Users/klx/code/badminton-app/src/app/modules/main/sign/components/sign/sign.component.ts", "TypeScript", 0, 52, 0, 0, 0, 0, 0, 4, 10, 66
"/Users/klx/code/badminton-app/src/app/modules/main/sign/service/sign.service.spec.ts", "TypeScript", 0, 9, 0, 0, 0, 0, 0, 0, 4, 13
"/Users/klx/code/badminton-app/src/app/modules/main/sign/service/sign.service.ts", "TypeScript", 0, 33, 0, 0, 0, 0, 0, 0, 11, 44
"/Users/klx/code/badminton-app/src/app/modules/main/sign/sign-routing.module.ts", "TypeScript", 0, 29, 0, 0, 0, 0, 0, 0, 4, 33
"/Users/klx/code/badminton-app/src/app/modules/main/sign/sign.module.ts", "TypeScript", 0, 17, 0, 0, 0, 0, 0, 0, 4, 21
"/Users/klx/code/badminton-app/src/app/modules/register/components/register/register.component.html", "HTML", 31, 0, 0, 0, 0, 0, 0, 0, 0, 31
"/Users/klx/code/badminton-app/src/app/modules/register/components/register/register.component.scss", "SCSS", 0, 0, 30, 0, 0, 0, 0, 0, 6, 36
"/Users/klx/code/badminton-app/src/app/modules/register/components/register/register.component.spec.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 0, 0, 6, 26
"/Users/klx/code/badminton-app/src/app/modules/register/components/register/register.component.ts", "TypeScript", 0, 53, 0, 0, 0, 0, 0, 0, 19, 72
"/Users/klx/code/badminton-app/src/app/modules/register/register-routing.module.ts", "TypeScript", 0, 14, 0, 0, 0, 0, 0, 0, 4, 18
"/Users/klx/code/badminton-app/src/app/modules/register/register.module.ts", "TypeScript", 0, 14, 0, 0, 0, 0, 0, 0, 4, 18
"/Users/klx/code/badminton-app/src/app/modules/register/service/register.service.spec.ts", "TypeScript", 0, 9, 0, 0, 0, 0, 0, 0, 4, 13
"/Users/klx/code/badminton-app/src/app/modules/register/service/register.service.ts", "TypeScript", 0, 26, 0, 0, 0, 0, 0, 0, 4, 30
"/Users/klx/code/badminton-app/src/assets/iconfont/iconfont.css", "CSS", 0, 0, 0, 0, 0, 42, 0, 0, 12, 54
"/Users/klx/code/badminton-app/src/assets/iconfont/iconfont.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"/Users/klx/code/badminton-app/src/assets/iconfont/iconfont.json", "JSON", 0, 0, 0, 0, 72, 0, 0, 0, 1, 73
"/Users/klx/code/badminton-app/src/assets/iconfont/iconfont.svg", "XML", 0, 0, 0, 0, 0, 0, 28, 3, 23, 54
"/Users/klx/code/badminton-app/src/environments/environment.prod.ts", "TypeScript", 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/klx/code/badminton-app/src/environments/environment.ts", "TypeScript", 0, 4, 0, 0, 0, 0, 0, 11, 4, 19
"/Users/klx/code/badminton-app/src/index.html", "HTML", 13, 0, 0, 0, 0, 0, 0, 0, 1, 14
"/Users/klx/code/badminton-app/src/main.ts", "TypeScript", 0, 9, 0, 0, 0, 0, 0, 0, 4, 13
"/Users/klx/code/badminton-app/src/polyfills.ts", "TypeScript", 0, 1, 0, 0, 0, 0, 0, 55, 8, 64
"/Users/klx/code/badminton-app/src/styles.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"/Users/klx/code/badminton-app/src/test.ts", "TypeScript", 0, 13, 0, 0, 0, 0, 0, 4, 4, 21
"Total", "-", 404, 1789, 143, 1, 72, 42, 28, 109, 542, 3130